!SIL	SIL
%	P AH R S EY N T
जाये	JH AA Y EY
जायेंगे	JH AA EY N G EY
जायेंगे	JH AA EY NG G EY
जारात	JH AA R AA TH
जारी	JH AA R IY
जाल	JH AA L
जाले	JH AA L EY
जाव	JH AA W
जावुन	JH AA W UH N
जाॅल	JH AO L
जिआन	JH IH AA N
जिजन	JH IH JH AH N
जिझिल	JH IH Z IH L
जितना	JH IH TH N AA
जितनी	JH IH TH N IY
जितने	JH IH TH N EY
जिन	JH IH N
जिनकी	JH IH N K IY
जिनके	JH IH N K EY
जिनको	JH IH N K OW
जिनसे	JH IH N S EY
जिनि	JH IH N IH
जिम	JH IH M
जिमन	JH IH M AH N
जिमोद	JH IH M OW DH
जिम्बो	JH IH M B OW
जिम्स	JH IH M S
जियलाइफ	JH IH Y AH L AA IH F
जियाष्टिक	JH IH Y AA SH T IH K
जियो	JH IH Y OW
जिरेंट	JH IH R EY N T
जिलॉस	JH IH L AO S
जिव	JH IH W
जिस	JH IH S
जिसका	JH IH S K AA
जिसको	JH IH S K OW
जी	JH IY
जीएंगे	JH IY EY N G EY
जीएंगे	JH IY EY NG G EY
जीडीपेज्	JH IY D IY P EH JH
जीता	JH IY TH AA
जीमधून	JH IY M AH DH HH UW N
जीव	JH IY W
जीवन	JH IY W AH N
जीवावाटवा	JH IY W AA W AA T AH W AA
जीहा	JH IY HH AA
जु	JH UH
जुंढो	JH UH N D HH OW
जुई	JH UH IY
जुईशी	JH UH IY SH IY
जुगी	JH UH G IY
जुढो	JH UH D HH OW
जुणी	JH UH N N IY
जुन	JH UH N
जुना	JH UH N AA
जुनी	JH UH N IY
जुनु	JH UH N UH
जुनू	JH UH N UW
जुम	JH UH M
जुमोद	JH UH M OW DH
जुम्पो	JH UH M P OW
जुम्बा	JH UH M B AA
जुम्बू	JH UH M B UW
जुम्बो	JH UH M B OW
जुला	JH UH L AA
जुली	JH UH L IY
जुळ	JH UH L
जुळस	JH UH L AH S
जुवा	JH UH W AA
जुसी	JH UH S IY
जू	JH UW
जूता	JH UW TH AA
जून	JH UW N
जून्ढू	JH UW N D HH UW
जूम	JH UW M
जूम्बो	JH UW M B OW
जॅकले	JH AE K AH L EY
जॅगड	JH AE G AH D
जॅना	JH AE N AA
जॅनी	JH AE N IY
जॅम्बो	JH AE M B OW
जॅरी	JH AE R IY
जे	JH EY
जेंकी	JH EH N K IY
जेंकी	JH EH NG K IY
जेंगल	JH EY N G AH L
जेंगल	JH EY NG G AH L
जेंट	JH EY N T
जेंड	JH EY N D
जेंडर्ली	JH EY N D AH R L IY
जेंलरी	JH EY N L AH R IY
जेकल	JH EY K AH L
जेक्का	JH EH K K AA
जेक्की	JH EH K K IY
जेखा	JH EY K HH AA
जेन	JH EY N
जेभा	JH EY B HH AA
जेमस	JH EY M S
जेरिंग	JH EY R IH N G
जेरिंग	JH EY R IH NG
जेरीज	JH EY R IY JH
जेलंस	JH EY L AH N S
जेलात	JH EY L AA TH
जेली	JH EY L IY
जेश्ट	JH EY SH T
जेसे	JH EY S EY
जैके	JH EY K EY
जैलस	JH EY L AH S
जैलसी	JH EY L AH S IY
जैसे	JH EY S EY
जॉ	JH AO
जॉइस	JH AO IH S
जॉकी	JH AO K IY
जॉनर	JH AO N AH R
जॉन्की	JH AO N K IY
जो	JH OW
जोई	JH OW IY
जोकल	JH OW K AH L
जोडुनच्या	JH OW D UH N AH CH Y AA
जोडे	JH OW D EY
जोम	JH OW M
जोर	JH OW R
जोरात	JH OW R AA TH
जोरॅत	JH OW R AE TH
जोर्जिअस	JH OW R JH IH AH S
जोल्यत	JH OW L Y AH TH
ज्ञ	DH N Y AH
ज्ञ	G Y AH
ज्ञा	DH N Y AA
ज्ञा	G Y AA
ज्ञान	G Y AA N
ज्या	JH Y AA
ज्यांनी	JH Y AA N N IY
ज्याड	JH Y AA D
ज्यादा	JH Y AA DH AA
ज्यी	JH Y IY
ज्यो	JH Y OW
ज्रंग	JH R AH N G
ज्रंग	JH R AH NG
ज्स	JH AH S
झ	JH HH AH
झंडूवर	JH HH AH N D UW W AH R
झक्याकाठी	JH HH AH K Y AA K AA T HH IY
झक्याचे	JH HH AH K Y AA CH EY
झक्यासा	JH HH AH K Y AA S AA
झट	JH HH AH T
झटक्याही	JH HH AH T AH K Y AA HH IY
झत	JH HH AH TH
झत्या	JH HH AH TH Y AA
झम	JH HH AH M
झयुवराज	JH HH AH Y UH W AH R AA JH
झर	JH HH AH R
झरक्याकाठी	JH HH AH R AH K Y AA K AA T HH IY
झरक्यासाठी	JH HH AH R AH K Y AA S AA T HH IY
झरण्डा	JH HH AH R AH N N D AA
झरन्यासाठी	JH HH AH R AH N Y AA S AA T HH IY
झरया	JH HH AH R AH Y AA
झरा	JH HH AH R AA
झर्कयासाठी	JH HH AH R K AH Y AA S AA T HH IY
झर्या	JH HH AH R Y AA
झर्याकठी	JH HH AH R Y AA K AH T HH IY
झर्याकडे	JH HH AH R Y AA K AH D EY
झर्याकांसाठी	JH HH AH R Y AA K AA N S AA T HH IY
झर्याकाटी	JH HH AH R Y AA K AA T IY
झर्याकाठी	JH HH AH R Y AA K AA T HH IY
झर्याखाट	JH HH AH R Y AA K HH AA T
झर्याखाठ	JH HH AH R Y AA K HH AA T HH
झर्याखाली	JH HH AH R Y AA K HH AA L IY
झर्याची	JH HH AH R Y AA CH IY
झर्यासा	JH HH AH R Y AA S AA
झऱ्या	JH HH AH R Y AA
झऱ्याक	JH HH AH R Y AA K
झऱ्याकडे	JH HH AH R Y AA K AH D EY
झऱ्याका	JH HH AH R Y AA K AA
झऱ्याकाकाठी	JH HH AH R Y AA K AA K AA T HH IY
झऱ्याकाठी	JH HH AH R Y AA K AA T HH IY
झऱ्याखाड़ी	JH HH AH R Y AA K HH AA D IY
झऱ्यासाठी	JH HH AH R Y AA S AA T HH IY
झला	JH HH AH L AA
झल्याक	JH HH AH L Y AA K
झल्याकाठी	JH HH AH L Y AA K AA T HH IY
झवला	JH HH AH W AH L AA
झा	JH HH AA
झांडावर	JH HH AA N D AA W AH R
झाकण्यासाठी	JH HH AA K AH N N Y AA S AA T HH IY
झाच	JH HH AA CH
झाड	JH HH AA D
झाडवर	JH HH AA D AH W AH R
झाडा	JH HH AA D AA
झाडां	JH HH AA D AA N
झाडांची	JH HH AA D AA N CH IY
झाडांवर	JH HH AA D AA N W AH R
झाडाकाठी	JH HH AA D AA K AA T HH IY
झाडाची	JH HH AA D AA CH IY
झाडाचे	JH HH AA D AA CH EY
झाडावर	JH HH AA D AA W AH R
झाडावल	JH HH AA D AA W AH L
झाडी	JH HH AA D IY
झाडुन	JH HH AA D UH N
झाडूची	JH HH AA D UW CH IY
झाडे	JH HH AA D EY
झाड्याकाठी	JH HH AA D Y AA K AA T HH IY
झादावर	JH HH AA DH AA W AH R
झादे	JH HH AA DH EY
झाना	JH HH AA N AA
झानाझा	JH HH AA N AA JH HH AA
झार्याकाठी	JH HH AA R Y AA K AA T HH IY
झाऱ्याकाठी	JH HH AA R Y AA K AA T HH IY
झाल	JH HH AA L
झालं	JH HH AA L AH N
झालया	JH HH AA L AH Y AA
झाला	JH HH AA L AA
झालाकाठी	JH HH AA L AA K AA T HH IY
झाली	JH HH AA L IY
झाले	JH HH AA L EY
झालेले	JH HH AA L EY L EY
झालो	JH HH AA L OW
झाल्य	JH HH AA L Y
झाल्या	JH HH AA L Y AA
झाड़े	JH HH AA D EY
झिर्याकाठी	JH HH IH R Y AA K AA T HH IY
झिला	JH HH IH L AA
झिलाझूलाझोला	JH HH IH L AA JH HH UW L AA JH HH OW L AA
झी	JH HH IY
झील	JH HH IY L
झु	JH HH UH
झुका	JH HH UH K AA
झुडाची	JH HH UH D AA CH IY
झुना	JH HH UH N AA
झुम्बा	Z UH M B AA
झुल	JH HH UH L
झुलता	JH HH UH L TH AA
झुलते	JH HH UH L TH EY
झुला	JH HH UH L AA
झुले	JH HH UH L EY
झुड़प्यच	JH HH UH D AH P Y AH CH
झुड़प्यची	JH HH UH D AH P Y AH CH IY
झू	JH HH UW
झूट	JH HH UW T
झूठा	JH HH UW T HH AA
झूने	JH HH UW N EY
झूम	JH HH UW M
झूल	JH HH UW L
झूलते	JH HH UW L TH EY
झूलते-झूलते	JH HH UW L TH EY JH HH UW L TH EY
झूलने	JH HH UW L N EY
झूला	JH HH UW L AA
झूलाझोला	JH HH UW L AA JH HH OW L AA
झूले	JH HH UW L EY
झे	JH HH EY
झें	JH HH EY N
झेंडु	JH HH EY N D UH
झेंडुई	JH HH EY N D UH IY
झेंडुची	JH HH EY N D UH CH IY
झेंडू	JH HH EY N D UW
झेंडूची	JH HH EY N D UW CH IY
झेंडूचे	JH HH EY N D UW CH EY
झेकल	JH HH EY K AH L
झेन	JH HH EY N
झेनझी	JH HH EY N JH HH IY
झेला	JH HH EY L AA
झो	JH HH OW
झोक	JH HH OW K
झोकलयात	JH HH OW K AH L AH Y AA TH
झोका	JH HH OW K AA
झोझूलाझूझूला	JH HH OW JH HH UW L AA JH HH UW JH HH UW L AA
झोझोला	JH HH OW JH HH OW L AA
झोटा	JH HH OW T AA
झोप	JH HH OW P
झोपडी	JH HH OW P AH D IY
झोपली	JH HH OW P AH L IY
झोपा	JH HH OW P AA
झोपि	JH HH OW P IH
झोपी	JH HH OW P IY
झोपीत	JH HH OW P IY TH
झोपीली	JH HH OW P IY L IY
झोपु	JH HH OW P UH
झोपुन	JH HH OW P UH N
झोप्लीया	JH HH OW P L IY Y AA
झोरात	JH HH OW R AA TH
झोल	JH HH OW L
झोलझूल	JH HH OW L AH JH HH UW L
झोला	JH HH OW L AA
झोले	JH HH OW L EY
झ्याकाठी	JH HH Y AA K AA T HH IY
ट	T AH
टंक	T AH N K
टंक	T AH NG K
टंग	T AH N G
टंगर	T AH N G AH R
टक	T AH K
टकर	T AH K AH R
टके	T AH K EY
टक्स	T AH K S
टच	T AH CH
टट	T AH T
टटमाटर	T AH T AH M AA T AH R
टटरबुज	T AH T AH R AH B UH JH
टटोइज	T AH T OW IH JH
टटोयज	T AH T OW Y AH JH
टटोरिंग्स	T AH T OW R IH N G S
टटोर्निज	T AH T OW R N IH JH
टत	T AH TH
टन	T AH N
टनट्स	T AH N AH T S
टनमीन	T AH N AH M IY N
टन्क	T AH N K
टन्डर	T AH N D AH R
टप	T AH P
टब	T AH B
टम	T AH M
टमच	T AH M AH CH
टमटा	T AH M AH T AA
टमाटर	T AH M AA T AH R
टमिनेट	T AH M IH N EY T
टम्बशन	T AH M B AH SH AH N
टर	T AH R
टरटेल्स	T AH R AH T EY L S
टरबुज	T AH R AH B UH JH
टरमिट	T AH R AH M IH T
टरमीट	T AH R AH M IY T
टरमेट	T AH R AH M EY T
टरा	T AH R AA
टरि	T AH R IH
टरेक्ट	T AH R EY K T
टर्टटॉइज	T AH R T AH T AO IH JH
टर्नेट	T AH R N EY T
टर्नेड	T AH R N EY D
टर्पेड	T AH R P EY D
टर्बल	T AH R B AH L
टर्मनिट	T AH R M AH N IH T
टर्मिट	T AH R M IH T
टर्मिन	T AH R M IH N
टर्मिनाइट	T AH R M IH N AA IH T
टर्मिने	T AH R M IH N EY
टर्रिबल	T AH R R IH B AH L
टर्स	T AH R S
टल	T AH L
टलयावल	T AH L AH Y AA W AH L
टलस	T AH L AH S
टव	T AH W
टस्क	T AH S K
टस्ट	T AH S T
टा	T AA
टां	T AA N
टांका	T AA N K AA
टांक्यातील	T AA N K Y AA TH IY L
टांग	T AA N G
टांगयातील	T AA N G AH Y AA TH IY L
टांगा	T AA N G AA
टांगातील	T AA N G AA TH IY L
टांगेवरील	T AA N G EY W AH R IY L
टांग्या	T AA N G Y AA
टांग्यात	T AA N G Y AA TH
टांग्यातिल	T AA N G Y AA TH IH L
टांग्याती	T AA N G Y AA TH IY
टांग्यातील	T AA N G Y AA TH IY L
टांयगातील	T AA N Y AH G AA TH IY L
टाइंडर	T AA IH N D AH R
टाइडर	T AA IH D AH R
टाइन	T AA IH N
टाइन्ट	T AY N T
टाइबल	T AA IH B AH L
टाइम	T AY M
टाइमिड	T AA IH M IH D
टाइमीड	T AA IH M IY D
टाइमे	T AY M EY
टाइमेड	T AA IH M EY D
टाइम्ड	T AA IH M D
टाइल	T AA IH L
टाईदरी	T AA IY DH AH R IY
टाउन	T AW N
टाएटिज	T AA EY T IH JH
टाक	T AA K
टाकत	T AA K AH TH
टाकते	T AA K AH TH EY
टाकतो	T AA K AH TH OW
टाकने	T AA K AH N EY
टाकयातिल	T AA K AH Y AA TH IH L
टाकयातील	T AA K AH Y AA TH IY L
टाकयानी	T AA K AH Y AA N IY
टाकल	T AA K AH L
टाकली	T AA K AH L IY
टाकले	T AA K AH L EY
टाकल्या	T AA K AH L Y AA
टाका	T AA K AA
टाक्या	T AA K Y AA
टाक्यातीन	T AA K Y AA TH IY N
टाक्यातील	T AA K Y AA TH IY L
टाख	T AA K HH
टाखुन	T AA K HH UH N
टागटेड	T AA G AH T EY D
टागन्यातिल	T AA G AH N Y AA TH IH L
टागा	T AA G AA
टाग्या	T AA G Y AA
टाग्यांतील	T AA G Y AA N TH IY L
टाग्यातील	T AA G Y AA TH IY L
टाटम	T AA T AH M
टाटा	T AA T AA
टानॅडर	T AA N AE D AH R
टाबू	T AA B UW
टाय	T AA Y
टायएंट	T AA Y EY N T
टायटिंग	T AA Y AH T IH N G
टायड	T AA Y AH D
टायन्स	T AA Y AH N S
टायपिकल	T AA Y AH P IH K AH L
टायेस	T AA Y EY S
टाय्न्डर	T AA Y N D AH R
टाय्रंट्स	T AA Y R AH N T S
टार	T AA R
टारगेस	T AA R G EH S
टारटर	T AA R AH T AH R
टार्स	T AA R S
टाला	T AA L AA
टाल्क	T AA L K
टाल्या	T AA L Y AA
टाळ	T AA L
टाळया	T AA L AH Y AA
टाळा	T AA L AA
टाळी	T AA L IY
टाळे	T AA L EY
टाळ्या	T AA L Y AA
टाळ्यातील	T AA L Y AA TH IY L
टावड्स	T AA W AH D S
टावन	T AA W AH N
टावर	T AA W AH R
टावर्स	T AA W AH R S
टास्ट	T AA S T
टि	T IH
टिंग	T IH N G
टिंग	T IH NG
टिंट	T IH N T
टिंडर	T IH N D AH R
टिक	T IH K
टिकले	T IH K AH L EY
टिकेट	T IH K EH T
टिकेडेड	T IH K EY D EY D
टिकेस	T IH K EY S
टिच	T IH CH
टिट	T IH T
टिटनस	T IH T AH N AH S
टिटस	T IH T AH S
टिटी	T IH T IY
टिटॅनस	T IH T AE N AH S
टिड	T IH D
टिडर	T IH D AH R
टिडली	T IH D AH L IY
टिडिअर	T IH D IH AH R
टिडिर	T IH D IH R
टिडीअर	T IH D IY AH R
टिडे	T IH D EY
टिनत	T IH N AH TH
टिनिंग	T IH N IH N G
टिनी	T IH N IY
टिने	T IH N EY
टिबल	T IH B AH L
टिम	T IH M
टिमाइड	T IH M AA IH D
टिमाइन	T IH M AA IH N
टिमिट	T IH M IH T
टिम्ड	T IH M D
टिरिबल	T IH R IH B AH L
टिरेन	T IH R EY N
टिरेन्स	T IH R EY N S
टिल	T IH L
टिल्स	T IH L S
टिव	T IH W
टिवेल	T IH W EY L
टिस	T IH S
टिसिंग	T IH S IH N G
टिसिंग	T IH S IH NG
टिसिस्को	T IH S IH S K OW
टिस्ट	T IH S T
टी	T IY
टीका	T IY K AA
टीच	T IY CH
टीज	T IY JH
टीट	T IY T
टीटनेस	T IY T AH N EY S
टीड	T IY D
टीडिअर	T IY D IH AH R
टीना	T IY N AA
टीमड	T IY M AH D
टीमाईड	T IY M AA IY D
टीमेन	T IY M EY N
टीम्ट	T IY M T
टीरीत	T IY R IY TH
टील	T IY L
टीला	T IY L AA
टील्स	T IY L S
टीवेरिंग	T IY W EY R IH N G
टीस	T IY S
टीसिंग	T IY S IH N G
टीसिंग	T IY S IH NG
टु	T UH
टुअर्स	T UH AH R S
टुइजेस	T UH IH JH EY S
टुईटोइज	T UH IY T OW IH JH
टुकली	T UH K AH L IY
टुकी	T UH K IY
टुक्ट	T UH K T
टुज	T UH JH
टुटस	T UH T AH S
टुटा	T UH T AA
टुटुटोय्स	T UH T UH T OW Y S
टुटॉइज	T UH T AO IH JH
टुटोइज	T UH T OW IH JH
टुटोटिज	T UH T OW T IH JH
टुटोटिस	T UH T OW T IH S
टुटोयज	T UH T OW Y AH JH
टुडे	T UH D EY
टुडेदर	T UH D EY DH AH R
टुत	T UH TH
टुद	T UH DH
टुप	T UH P
टुब	T UH B
टुम	T UH M
टुमॉरो	T UH M AO R OW
टुर	T UH R
टुरवस	T UH R AH W AH S
टुरिंग	T UH R IH N G
टुरिंग	T UH R IH NG
टुरिज	T UH R IH JH
टुरिस	T UH R IH S
टुर्स	T UH R S
टुल्ड	T UH L D
टुवट	T UH W AH T
टुवस	T UH W AH S
टुवेल	T UH W EY L
टूग	T UW G
टूगे	T UW G EY
टूट	T UW T
टूड	T UW D
टूडेदर	T UW D EY DH AH R
टूल	T UW L
टूस	T UW S
टॅ	T AE
टॅंट्रम्स	T AE N T R AH M S
टॅक	T AE K
टॅट	T AE T
टॅटस	T AE T AH S
टॅड	T AE D
टॅन	T AE N
टॅनटन्स	T AE N AH T AH N S
टॅनी	T AE N IY
टॅन्जि	T AE N JH IH
टॅन्ट	T AE N T
टॅन्ट्	T AE N T
टॅम	T AE M
टॅरेटेड	T AE R EH T EH D
टॅल	T AE L
टॅल्क	T AE L K
टे	T EY
टेंगा	T EY N G AA
टेंटिबल	T EY N T IH B AH L
टेंटेस	T EH N T EH S
टेंडिंग	T EY N D IH N G
टेंश्ट	T EY N SH T
टेअर	T EY AH R
टेक	T EY K
टेकल	T EY K AH L
टेकेंस	T EY K EY N S
टेक्ड	T EY K D
टेक्निक	T EY K N IH K
टेक्सी	T EY K S IY
टेजिंग	T EY JH IH N G
टेजिंग	T EY JH IH NG
टेट	T EY T
टेटीटन्स	T EY T IY T AH N S
टेटेस	T EY T EY S
टेड	T EY D
टेडर	T EY D AH R
टेडिर	T EY D IH R
टेडीर	T EY D IY R
टेत	T EY TH
टेनल	T EY N AH L
टेनिंग	T EY N IH N G
टेनिंग	T EY N IH NG
टेबली	T EY B AH L IY
टेब्लिंग	T EY B L IH N G
टेम	T EY M
टेम्पर	T EY M P AH R
टेम्परे	T EY M P AH R EY
टेम्परेटर	T EY M P AH R EY T AH R
टेरट	T EY R AH T
टेरटेड	T EH R AH T EH D
टेरिअर	T EY R IH AH R
टेरिब्ल	T EY R IH B L
टेरिब्ली	T EY R IH B L IY
टेरीबीयल	T EY R IY B IY Y AH L
टेरेट्स	T EY R EY T S
टेरेबल	T EY R EY B AH L
टेरेबीलियर	T EY R EY B IY L IH Y AH R
टेर्टोटॉइज	T EY R T OW T OY JH
टेलंस	T EY L AH N S
टेलक	T EY L AH K
टेलिबर	T EY L IH B AH R
टेलिबल	T EY L IH B AH L
टेल्क	T EY L K
टेल्ड	T EH L D
टेश	T EY SH
टेस	T EY S
टेसिंग	T EY S IH N G
टेसिंग	T EY S IH NG
टेसेस	T EY S EH S
टेस्टी	T EY S T IY
टेस्टेट	T EY S T EY T
टैकलेक	T EY K L EH K
टैकेल	T EY K EH L
टॉ	T AO
टॉंन्क	T AO N N K
टॉइ	T AO IH
टॉइट	T AO IH T
टॉईज	T AO IY JH
टॉउचर	T AW CH AH R
टॉएट	T AO EY T
टॉच	T AO CH
टॉटराइस	T AO T AH R AA IH S
टॉटिज	T AO T IH JH
टॉटिस	T AO T IH S
टॉटोइज	T AO T OW IH JH
टॉटोटिस	T AO T OW T IH S
टॉड	T AO D
टॉन्ट	T AO N T
टॉपर	T AO P AH R
टॉफ	T AO P HH
टॉम्बोस्टोंस	T AO M B OW S T OW N S
टॉय	T AO Y
टॉयटोईज	T AO Y AH T OW IY JH
टॉरटल्स	T AO R AH T AH L S
टॉर्को	T AO R K OW
टॉर्वड्स	T AO R W AH D S
टॉलरे	T AO L AH R EY
टॉल्स	T AO L S
टॉवड	T AO W AH D
टॉवड्स	T AO W AH D S
टॉवर्स	T AO W AH R S
टो	T OW
टोँब्स	T AO M B S
टोंग	T OW N G
टोंग	T OW NG
टोइन	T OW IH N
टोक	T OW K
टोकन	T OW K AH N
टोकरी	T OW K R IY
टोका	T OW K AA
टोकाटोका	T OW K AA T OW K AA
टोज	T OW JH
टोटज	T OW T AH JH
टोटराइस	T OW T AH R AA IH S
टोटरीज	T OW T AH R IY JH
टोटरॉइज	T OW T AH R AO IH JH
टोटस	T OW T AH S
टोटाटिस	T OW T AA T IH S
टोटायसेस	T OW T AY S EH S
टोटिज	T OW T IH JH
टोटिस	T OW T IH S
टोटिसे	T OW T IH S EY
टोटुरिज	T OW T UH R IH JH
टोटॅज	T OW T AE JH
टोटॉय	T OW T AO Y
टोटोईज	T OW T OW IY JH
टोटोज	T OW T OW JH
टोटोटाइज	T OW T OW T AA IH JH
टोटोटाईज	T OW T OW T AA IY JH
टोटोटिस	T OW T OW T IH S
टोटोटोइज	T OW T OW T OW IH JH
टोटोटोय्ज	T OW T OW T OW Y JH
टोटोटोय्स	T OW T OW T OW Y S
टोटोपीस	T OW T OW P IY S
टोटोयज	T OW T OW Y AH JH
टोटोय्स	T OW T OW Y S
टोटोरटिज	T OW T OW R AH T IH JH
टोटोराइस	T OW T OW R AA IH S
टोटोरिज	T OW T OW R IH JH
टोटोस	T OW T OW S
टोटोसेस	T OW T OW S EY S
टोड	T OW D
टोनटोटिस	T OW N AH T OW T IH S
टोन्स	T OW N S
टोप	T OW P
टोपॅटोज	T OW P AE T OW JH
टोबस	T OW B AH S
टोमॅट	T OW M AE T
टोम्ब	T OW M B
टोम्बल्स	T OW M B AH L S
टोम्बस्टोंस	T OW M B S T OW N S
टोम्बस्टोन्सेस	T OW M B S T OW N S EY S
टोम्बेस	T OW M B EY S
टोम्ब्स	T OW M B S
टोम्ब्स्टोन	T OW M B S T OW N
टोम्स	T OW M S
टोय	T OW Y
टोयजेस	T OW Y AH JH EY S
टोयटोईज	T OW Y AH T OW IY JH
टोयटोटिज	T OW Y AH T OW T IH JH
टोयटोय्जिस	T OW Y AH T OW Y JH IH S
टोयटोरटिज	T OW Y AH T OW R AH T IH JH
टोर	T OW R
टोरंटोइस	T OW R AH N T OW IH S
टोरटाईज	T OW R AH T AA IY JH
टोरटिज	T OW R AH T IH JH
टोरटिजिस	T OW R AH T IH JH IH S
टोरटिस	T OW R AH T IH S
टोरटुरिज	T OW R AH T UH R IH JH
टोरटेशन	T OW R AH T EY SH AH N
टोरटॉइज	T OW R AH T AO IH JH
टोरटोइज	T OW R AH T OW IH JH
टोरटोटिज	T OW R AH T OW T IH JH
टोरटोनिज	T OW R AH T OW N IH JH
टोरटोर	T OW R AH T OW R
टोरटोराइज	T OW R AH T OW R AA IH JH
टोरटोरिज	T OW R T OW R IH JH
टोरट्रिज	T OW R AH T R IH JH
टोरट्रोइज	T OW R AH T R OW IH JH
टोरलेट	T OW R AH L EY T
टोरेज	T OW R EY JH
टोर्टस	T OW R T AH S
टोर्टिस	T OW R T IH S
टोर्टोटाइज	T OW R T OW T AA IH JH
टोर्टोटाइस	T OW R T OW T AA IH S
टोर्टोटॉइज	T OW R T OW T AO IH JH
टोर्टोटॉईज	T OW R T OW T OY JH
टोर्टोटोइज	T OW R T OW T OW IH JH
टोर्टोडाईज़	T OW R T OW D AY Z
टोर्टोज़	T OW R T OW Z
टोर्ट्टोइज	T OW R T T OW IH JH
टोर्थ	T OW R TH
टोर्न्स	T OW R N S
टोल	T OW L
टोलटस	T OW L T AH S
टोलटॉइज	T OW L AH T AO IH JH
टोलिरेट	T OW L IH R EY T
टोवड	T OW W AH D
टोवर्स	T OW W AH R S
टोवेअर	T OW W EY AH R
टौटस	T AO T AH S
टौर्वड्स	T AO R W AH D S
टौवर्स	T AO W AH R S
ट्ठावन	T T HH AA W AH N
ट्म	T AH M
ट्या	T Y AA
ट्यांग	T Y AA N G
ट्याग्यातिल	T Y AA G Y AA TH IH L
ट्यान	T Y AA N
ट्यु	T Y UH
ट्युअस	T Y UH AH S
ट्युज	T Y UH JH
ट्युटलर	T Y UH T AH L AH R
ट्युटली	T Y UH T AH L IY
ट्यूसडे	T Y UW S D EY
ट्र	T R AH
ट्रंट	T R AH N T
ट्रंड	T R AH N D
ट्रंबल	T R AH N B AH L
ट्रक	T R AH K
ट्रकल्ड	T R AH K AH L D
ट्रग	T R AH G
ट्रगल	T R AH G AH L
ट्रगल्ड	T R AH G AH L D
ट्रगेड	T R AH G EH D
ट्रग्ड	T R AH G D
ट्रड	T R AH D
ट्रन	T R AH N
ट्रनिंग	T R AH N IH N G
ट्रनेड	T R AH N EH D
ट्रन्ट	T R AH N T
ट्रबल	T R AH B AH L
ट्रबेबल	T R AH B EY B AH L
ट्रम्ब	T R AH M B
ट्रम्बल	T R AH M B AH L
ट्रम्बलिंग	T R AH M B L IH N G
ट्रम्बलिंग	T R AH M B L IH NG
ट्रम्बल्स	T R AH M B AH L S
ट्रम्स	T R AH M S
ट्रस	T R AH S
ट्रसेस	T R AH S EY S
ट्रस्ट	T R AH S T
ट्रा	T R AA
ट्राइ	T R AA IH
ट्राइंगिन	T R AY N G IH N
ट्राइंगिन	T R AY NG G IH N
ट्राइग	T R AA IH G
ट्राइज	T R AA IH JH
ट्राइट	T R AA IH T
ट्राइनटिड	T R AY N AH T IH D
ट्राइबल	T R AA IH B AH L
ट्राइब्ली	T R AA IH B L IY
ट्राउड्स	T R AA UH D S
ट्राऊन्ड	T R AA UW N D
ट्राएंस	T R AA EY N S
ट्राटायलंड	T R AA T AA Y AH L AH N D
ट्राप	T R AA P
ट्राम	T R AA M
ट्रायंट्स	T R AA Y AH N T S
ट्रायबल	T R AA Y AH B AH L
ट्रायरंट्स	T R AA Y AH R AH N T S
ट्रायेट	T R AA Y EY T
ट्राय्डी	T R AA Y D IY
ट्राय्लिन	T R AA Y L IH N
ट्रिंक	T R IH N K
ट्रिंक	T R IH NG K
ट्रिएंड	T R IH EY N D
ट्रिक	T R IH K
ट्रिडर	T R IH D AH R
ट्रिप	T R IH P
ट्रिपिकल	T R IH P IH K AH L
ट्रिपी	T R IH P IY
ट्रिब	T R IH B
ट्रिबल	T R IH B AH L
ट्रिबल्	T R IH B AH L
ट्रिबल्स	T R IH B AH L S
ट्रिब्लिंग	T R IH B L IH N G
ट्रिब्स	T R IH B S
ट्रिमिट	T R IH M IH T
ट्रिमॅण्ट	T R IH M AE N N T
ट्रिम्बल	T R IH M B AH L
ट्रिव	T R IH W
ट्रीट	T R IY T
ट्रीड	T R IY D
ट्रीबल	T R IY B AH L
ट्रीबीली	T R IY B IY L IY
ट्रीली	T R IY L IY
ट्रुंक	T R UH N K
ट्रुंट	T R UH N T
ट्रुक्ट	T R UH K T
ट्रुगल	T R UH G AH L
ट्रुडीट	T R UH D IY T
ट्रुन	T R UH N
ट्रुलरस	T R UH L AH R AH S
ट्रुवल्स	T R UH W AH L S
ट्रुस्ट	T R UH S T
ट्रॅ	T R AE
ट्रॅकल	T R AE K AH L
ट्रॅग्ड	T R AE G D
ट्रॅजर्स	T R AE JH AH R S
ट्रॅड	T R AE D
ट्रॅन	T R AE N
ट्रॅन्क	T R AE N K
ट्रॅन्ग	T R AE N G
ट्रॅन्स	T R AE N S
ट्रॅपेड	T R AE P EY D
ट्रॅबल	T R AE B AH L
ट्रे	T R EY
ट्रेंट	T R EY N T
ट्रेक्ट	T R EY K T
ट्रेटडिल	T R EY T AH D IH L
ट्रेडि	T R EY D IH
ट्रेडीबल	T R EY D IY B AH L
ट्रेनड	T R EY N D
ट्रेनेट	T R EY N EY T
ट्रेनेड	T R EY N EY D
ट्रेन्थ	T R EY N TH
ट्रेप	T R EY P
ट्रेपिड	T R EY P IH D
ट्रेबर	T R EY B AH R
ट्रेबल	T R EY B AH L
